,title,score,author,genre,Story,Url,id
0,시월드 판타지,9.91,진돌 / 히디,"스토리, 판타지","첫 눈에 반한 남편이 악마라니....그리고 시어머니는 마왕?! ㄴ(°0°)ㄱ용사 조라세, 시댁의 '찐' 마왕과 목숨을 건(?) 대결이 시작된다.",https://comic.naver.com/webtoon/list?titleId=753222,753222
1,재혼 황후,9.96,히어리 / 숨풀 / 알파타...,"스토리, 로맨스",동대제국의 완벽한 황후였던 나비에.​황제인 남편이 정부를 황후로 만들려는 것을 알고 이혼을 택한다. 그리고 결심한다.이곳에서 황후가 될 수 없다면 다른 곳에서 황후가 되겠다고.인기 웹소설 '재혼 황후'가 웹툰화되다!,https://comic.naver.com/webtoon/list?titleId=735661,735661
2,이두나!,9.73,민송아,"스토리, 로맨스","(구)아이돌, 첫사랑, 소개팅녀까지 한 집에 모였다! <나노리스트> 민송아 작가의 두근두근 누나 리스트! 대학생 이원준은 개강을 맞아 셰어하우스에 입주한다. 은퇴한 아이돌 이두나가 아래층에 살고 있다는 것을 알게 되는데..",https://comic.naver.com/webtoon/list?titleId=731130,731130
3,연애혁명,9.86,232,"스토리, 드라마","평범하면서 금사빠인 고등학생 순정남 공주영은 까칠하고 차가운 여학생 왕자림을 보고 사랑에 빠져버린다.너무 다른 둘, 괜찮을까?",https://comic.naver.com/webtoon/list?titleId=570503,570503
4,별을 삼킨 너에게,9.93,ARI,"스토리, 로맨스","어둠 같은 현실 속에서도 우리가 빛나는 이유는, 저마다의 별을 품고 있어서가 아닐까?별처럼 빛나는 우리들의 성장, 그리고 로맨스.네이버웹툰 최강자전 19년 대표작.",https://comic.naver.com/webtoon/list?titleId=748831,748831
5,요리GO,9.94,HO9,"스토리, 드라마",요리고등학교 졸업 후 산에서 수련을 마친 한별.특급 호텔 레스토랑에 인턴으로 취업하게 되지만엄하기로 소문난 호텔 주방에서 다양한 사건들에 휘말리게 되는데...과연 요리천재 한별은 이 어려움을 어떻게 헤쳐나갈 수 있을까?,https://comic.naver.com/webtoon/list?titleId=703849,703849
6,귀곡의 문,9.98,삼촌,"스토리, 드라마","귀신소굴로 유명한 삼도천동의 흉가,평범한(?) 세입자들의 일상 개그",https://comic.naver.com/webtoon/list?titleId=718020,718020
7,하우스키퍼,9.97,채용택 / 유현,"스토리, 판타지",'A.I가 인간에게 반역하는 것은 인간을 위해서이다.'A.I 혁명이 일어난 세계에서 사상 최악의 바이러스가 창궐하고 하스티의 주인 네빌은 좀비화가 된다.세계연합정부는 환자들의 치료를 포기하고 감염확산을 막기 위해 좀비 학살 정책을 벌인다.인간이 인간을 포기한 최악의 상황에서도 하스티는 주인인 네빌을 포기할 수 없었다.좀비가 된 주인을 지키기 위한 A.I들의 처절한 사투가 시작된다.,https://comic.naver.com/webtoon/list?titleId=723046,723046
8,사신소년,9.92,류,"스토리, 액션","수명을 대가로 죽은 자의 능력을 빌리는 소년! 화려한 액션에서 부터 스포츠, 두뇌 플레이까지 한계는 없다!",https://comic.naver.com/webtoon/list?titleId=730656,730656
9,정년이,9.97,서이레 / 나몬,"스토리, 드라마","가진 것 없고 배운 것 없지만, 소리 하나만큼은 타고난 목포 소녀 정년! 정년의 꿈은 여성 국극단에 들어가 부자가 되는 것인데… 배워야 할 것은 많고, 주연 배우 자리는 멀기만 하다. 과연 정년은 대 스타가, 부자가 될 수 있을까?",https://comic.naver.com/webtoon/list?titleId=726214,726214
10,어글리후드,9.98,미애,"스토리, 판타지","외계인이 유일신으로 군림한 미친 세상, 바꾸고싶다면 사탄이 되어라",https://comic.naver.com/webtoon/list?titleId=703630,703630
